Timestamp,symbol,price,volume
1693492800000,ABC,100.0000,1
1693492860000,ABC,100.4473,2
1693492920000,ABC,100.8788,3
1693492980000,ABC,101.2793,4
1693493040000,ABC,101.6347,5
1693493100000,ABC,101.9329,1
1693493160000,ABC,102.1641,2
1693493220000,ABC,102.3209,3
1693493280000,ABC,102.3991,4
1693493340000,ABC,102.3977,5
1693493400000,ABC,102.3186,1
1693493460000,ABC,102.1670,2
1693493520000,ABC,101.9509,3
1693493580000,ABC,101.6810,4
1693493640000,ABC,101.3700,5
1693493700000,ABC,101.0322,1
1693493760000,ABC,100.6833,2
1693493820000,ABC,100.3389,3
1693493880000,ABC,100.0150,4
1693493940000,ABC,99.7263,5
1693494000000,ABC,99.4864,1
1693494060000,ABC,99.3068,2
1693494120000,ABC,99.1968,3
1693494180000,ABC,99.1626,4
1693494240000,ABC,99.2077,5
1693494300000,ABC,99.3322,1
1693494360000,ABC,99.5331,2
1693494420000,ABC,99.8045,3
1693494480000,ABC,100.1375,4
1693494540000,ABC,100.5208,5
1693494600000,ABC,100.9412,1
1693494660000,ABC,101.3838,2
1693494720000,ABC,101.8331,3
1693494780000,ABC,102.2731,4
1693494840000,ABC,102.6882,5
1693494900000,ABC,103.0640,1
1693494960000,ABC,103.3873,2
1693495020000,ABC,103.6474,3
1693495080000,ABC,103.8358,4
1693495140000,ABC,103.9471,5
1693495200000,ABC,103.9787,1
1693495260000,ABC,103.9315,2
1693495320000,ABC,103.8092,3
1693495380000,ABC,103.6188,4
1693495440000,ABC,103.3698,5
1693495500000,ABC,103.0742,1
1693495560000,ABC,102.7458,2
1693495620000,ABC,102.3996,3
1693495680000,ABC,102.0513,4
1693495740000,ABC,101.7170,5
1693495800000,ABC,101.4120,1
1693495860000,ABC,101.1503,2
1693495920000,ABC,100.9443,3
1693495980000,ABC,100.8044,4
1693496040000,ABC,100.7381,5
1693496100000,ABC,100.7500,1
1693496160000,ABC,100.8416,2
1693496220000,ABC,101.0113,3
1693496280000,ABC,101.2543,4
1693496340000,ABC,101.5629,5
1693496400000,ABC,101.9269,1
1693496460000,ABC,102.3335,2
1693496520000,ABC,102.7688,3
1693496580000,ABC,103.2172,4
1693496640000,ABC,103.6630,5
1693496700000,ABC,104.0903,1
1693496760000,ABC,104.4841,2
1693496820000,ABC,104.8308,3
1693496880000,ABC,105.1183,4
1693496940000,ABC,105.3374,5
1693497000000,ABC,105.4812,1
1693497060000,ABC,105.5461,2
1693497120000,ABC,105.5313,3
1693497180000,ABC,105.4396,4
1693497240000,ABC,105.2765,5
1693497300000,ABC,105.0506,1
1693497360000,ABC,104.7728,2
1693497420000,ABC,104.4562,3
1693497480000,ABC,104.1155,4
